Park Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,2017
Hampton NHS,"35,260","39,334","32,153","32,165","37,529","32,262","32,498","34,685","34,942",,,"32,327"
Harpers Ferry NHP,"254,162","275,044","268,822","255,348","263,105","255,714","261,202","282,893","335,691",,,"342,535"
Harry S Truman NHS,"30,848","28,384","27,670","28,924","31,316","28,977","29,364","32,825","34,616",,,"45,435"
Hawaii Volcanoes NP,"1,270,538","1,233,105","1,304,667","1,352,123","1,483,928","1,583,209","1,693,005","1,832,660","1,887,580",,,"2,016,702"
Herbert Hoover NHS,"142,656","162,886","142,512","134,249","128,812","128,919","139,086","127,154","152,382",,,"144,619"
Home of Franklin D. Roosevelt NHS,"124,073","123,033","140,251","125,488","135,746","147,218","179,340","180,405","193,272",,,"185,743"
Homestead NM of America,"71,314","71,301","74,314","69,845","103,708","67,396","69,156","78,739","87,755",,,"123,400"
Hopewell Culture NHP,"28,130","34,179","33,918","33,834","39,462","32,206","36,432","43,587","58,058",,,"62,413"
Hopewell Furnace NHS,"49,328","53,186","55,750","44,873","52,870","46,138","48,105","51,252","54,167",,,"49,306"
Horseshoe Bend NMP,"50,719","72,232","67,776","65,892","58,668","55,965","64,359","89,282","83,370",,,"74,255"
Hot Springs NP,"1,238,147","1,284,707","1,311,807","1,396,354","1,302,505","1,325,719","1,424,484","1,418,162","1,544,300",,,"1,561,616"
Hovenweep NM,"25,411","27,855","27,386","25,858","26,710","24,959","26,808","35,117","42,862",,,"39,970"
Hubbell Trading Post NHS,"61,955","99,267","80,578","88,231","75,061","75,678","81,475","66,324","67,276",,,"45,800"
Independence NHP,"4,076,638","3,967,694","3,751,007","3,572,770","3,594,549","3,553,070","3,648,050","4,311,582","5,067,510",,,"4,790,758"
Indiana Dunes NL,"1,833,596","1,944,568","2,150,345","1,840,513","1,889,381","1,681,695","1,553,372","1,640,195","1,698,223",,,"2,158,471"
Isle Royale NP,"14,038","14,653","15,793","15,892","16,663","16,274","14,560","18,684","24,966",,,"28,196"
James A. Garfield NHS,"27,289","17,100","24,853","31,499","36,375","21,027","17,956","24,506","45,437",,,"53,536"
Jean Lafitte NHP & PRES,"339,821","335,075","391,019","420,366","419,694","400,128","445,524","405,618","438,420",,,"456,666"
